,Non-NSF Sponsored University Projects,,,,
,,,,,
Data from 10/1/2024 through 08/14/2025,,,,,
,Sponsor,Projects,Derecho Core-Hours,Casper Core-Hours,Campaign TB-yrs
,Exploratory (No NSF Award),511,"  201,263,169.90 ","  345,258.41 ",  950.62 
,Classroom,63,"  43,701,612.53 ","  145,882.82 ",  2.66 
,Data Analysis,138,  -   ,"  206,057.41 ",  244.97 
,,,,,
,TOTAL,  712 ,"  244,964,782.43 ","  697,198.64 ","  1,198.25 "
,,,,,
,,,,,
,NSF-Sponsored University Projects,,,,
,,,,,
Directorate,NSF Division,Projects,Derecho Core-Hours,Casper Core-Hours,Campaign TB-yrs
GEO,AGS,334,"  457,587,963.50 ","  517,089.64 ","  7,571.38 "
,OCE,73,"  98,514,123.85 ","  139,436.17 ",  619.96 
,PLR,44,"  31,724,549.61 ","  43,371.99 ",  495.74 
,EAR,40,"  64,738,384.39 ","  87,932.30 ",  691.33 
,ICER,12,"  5,962,154.51 ","  15,729.58 ",  487.99 
,RISE,24,"  58,860,132.32 ","  56,079.86 ",  134.18 
,GEO,1,"  191,045.46 ",,  74.32 
,Subtotal,  528 ,"  717,578,353.64 ","  859,639.53 ","  10,074.89 "
,,,,,
CISE,OAC,16,"  31,234,767.36 ","  50,941.84 ",  835.25 
,CNS,2,"  555,206.38 ",  222.94 ,
,Subtotal,  18 ,"  31,789,973.74 ","  51,164.77 ",  835.25 
,,,,,
ENG,CBET,19,"  12,811,942.31 ","  21,764.28 ",  160.79 
,EEC,1,"  1,015.85 ",  1.66 ,
,CMMI,7,"  2,334,549.29 ","  1,620.08 ",
,Subtotal,  27 ,"  15,147,507.45 ","  23,386.01 ",  160.79 
,,,,,
EDU,GRFP,8,"  897,342.23 ","  4,001.11 ",  7.81 
,DGE,10,"  3,818,106.99 ","  3,329.21 ",  44.37 
,HRD,1,"  250,598.22 ",  178.61 ,
,Subtotal,  19 ,"  4,966,047.44 ","  7,508.93 ",  52.18 
,,,,,
BIO,DEB,15,"  2,805,095.70 ","  2,567.44 ",  1.45 
